time,cD,cL
0.271,2.94941,-0.0378159
0.272,2.94858,-0.0384062
0.273,2.95563,-0.0330721
0.274,2.95654,-0.0346187
0.275,2.956,-0.0347484
0.276,2.96942,-0.0361306
0.277,2.96962,-0.0377625
0.278,2.97454,-0.0355587
0.279,2.98176,-0.0402681
0.28,3.0081,-0.0494787
0.281,3.0056,-0.045739
0.282,3.00667,-0.0460328
0.283,2.99607,-0.0444514
0.284,2.99469,-0.0457937
0.285,2.99607,-0.0459443
0.286,2.98309,-0.0454817
0.287,2.98092,-0.0444293
0.288,2.97017,-0.0443422
0.289,2.96566,-0.0425031
0.29,2.9572,-0.0434657
0.291,2.93547,-0.0412092
0.292,2.93606,-0.0411033
0.293,2.93023,-0.0426724
0.294,2.90071,-0.0461473
0.295,2.89408,-0.038787
0.296,2.88174,-0.0419593
0.297,2.88593,-0.0384628
0.298,2.88533,-0.03802
0.299,2.8862,-0.0440547
0.3,2.93494,-0.0494686
0.301,2.94125,-0.04868
0.302,2.94233,-0.050978
0.303,2.95592,-0.0511877
0.304,2.95595,-0.0511874
0.305,2.96063,-0.0498755
0.306,2.96004,-0.0497155
0.307,2.96717,-0.051628
0.308,2.98972,-0.0550231
0.309,2.98721,-0.0574228
0.31,2.98703,-0.0579153
0.311,2.99066,-0.05241
0.312,2.98528,-0.0565184
0.313,2.98512,-0.0568398
0.314,2.98638,-0.0557212
0.315,2.98486,-0.0578742
0.316,3.00014,-0.0554855
0.317,2.99394,-0.0600773
0.318,2.99431,-0.0606672
0.319,2.99119,-0.0539785
0.32,2.99434,-0.0592478
0.321,2.99377,-0.0567671
0.322,3.01281,-0.0628574
0.323,3.00633,-0.0560384
0.324,3.00705,-0.0555748
0.325,3.00142,-0.0615412
0.326,3.00478,-0.0575345
0.327,2.99943,-0.0599172
0.328,2.99187,-0.0557172
0.329,2.99264,-0.0554841
0.33,2.97113,-0.0580904
0.331,2.97122,-0.058512
0.332,2.96547,-0.0519511
0.333,2.9603,-0.0561526
0.334,2.93651,-0.0602155
0.335,2.93699,-0.0567554
0.336,2.93736,-0.0571116
0.337,2.93081,-0.053877
0.338,2.93586,-0.0576294
0.339,2.93254,-0.0564813
0.34,2.93598,-0.0585752
0.341,2.93308,-0.0569174
0.342,2.93883,-0.0583547
0.343,2.93889,-0.0585406
0.344,2.94747,-0.052822
0.345,2.94675,-0.0622548
0.346,2.94645,-0.0629077
0.347,2.9494,-0.055016
0.348,2.94497,-0.061367
0.349,2.94617,-0.0574222
0.35,2.94073,-0.0623114
0.351,2.94175,-0.0594353
0.352,2.9362,-0.0629805
0.353,2.93691,-0.0601071
0.354,2.9313,-0.0630232
0.355,2.93212,-0.0601978
0.356,2.92698,-0.0628147
0.357,2.92673,-0.0631169
0.358,2.92989,-0.0598255
0.359,2.92174,-0.0625053
0.36,2.92137,-0.0626595
0.361,2.92074,-0.0629195
0.362,2.91983,-0.06331
0.363,2.94826,-0.0641034
0.364,2.94226,-0.0686167
0.365,2.94669,-0.0626302
0.366,2.94184,-0.0660637
0.367,2.94446,-0.0564526
0.368,2.94472,-0.0561435
0.369,2.94516,-0.055483
0.37,2.93991,-0.0627016
0.371,2.94689,-0.0589282
0.372,2.94704,-0.0587608
0.373,2.94373,-0.0615797
0.374,2.947,-0.0571613
0.375,2.94212,-0.0591991
0.376,2.9419,-0.0594819
0.377,2.94455,-0.0560837
0.378,2.93914,-0.0583249
0.379,2.93898,-0.0586128
0.38,2.94112,-0.0547928
0.381,2.93572,-0.0559729
0.382,2.93563,-0.0561639
0.383,2.92946,-0.0555796
0.384,2.92945,-0.0589429
0.385,2.92964,-0.0597647
0.386,2.92706,-0.0513325
0.387,2.92734,-0.0505775
0.388,2.92472,-0.0594414
0.389,2.92457,-0.0601546
0.39,2.92628,-0.0519401
0.391,2.92664,-0.0513085
0.392,2.92267,-0.0585645
0.393,2.92447,-0.054994
0.394,2.92132,-0.0570109
0.395,2.9232,-0.0544437
0.396,2.89372,-0.0518014
0.397,2.89296,-0.0467648
0.398,2.85126,-0.0529029
0.399,2.86379,-0.0501637
0.4,2.83394,-0.0493894
0.401,2.83957,-0.0462869
0.402,2.82185,-0.0507727
0.403,2.8226,-0.0442267
0.404,2.8158,-0.0462578
0.405,2.81303,-0.03901
0.406,2.81272,-0.0387902
0.407,2.81039,-0.0418955
0.408,2.81321,-0.0380428
0.409,2.81267,-0.0412272
0.41,2.82314,-0.0363868
0.411,2.82357,-0.0389037
0.412,2.83482,-0.0339373
0.413,2.83445,-0.0336009
0.414,2.83425,-0.0375953
0.415,2.84955,-0.0337419
0.416,2.84918,-0.0333569
0.417,2.84886,-0.0327311
0.418,2.84908,-0.0389443
0.419,2.85397,-0.0348335
0.42,2.87457,-0.0430283
0.421,2.87379,-0.0436007
0.422,2.87273,-0.0445823
0.423,2.87135,-0.0460591
0.424,2.88121,-0.0337579
0.425,2.88123,-0.0329103
0.426,2.87631,-0.0441809
0.427,2.88575,-0.0380392
0.428,2.89802,-0.0389903
0.429,2.90807,-0.0350966
0.43,2.94727,-0.0380672
0.431,2.94641,-0.0382596
0.432,2.94527,-0.0385745
0.433,2.95631,-0.0354975
0.434,2.97087,-0.0379137
0.435,2.97802,-0.0348233
0.436,2.99181,-0.0349372
0.437,2.99118,-0.0350691
0.438,3.02816,-0.0381479
0.439,3.0252,-0.0305839
0.44,3.02468,-0.0305158
0.441,3.03533,-0.0318111
0.442,3.0319,-0.0325189
0.443,3.03553,-0.0298862
0.444,3.02609,-0.025501
0.445,3.03097,-0.0236214
0.446,3.02634,-0.0244082
0.447,2.95187,-0.00222174
0.448,2.94851,0.000826911
0.449,2.94885,0.00204343
0.45,2.94451,-0.0124599
0.451,2.93967,0.00205058
0.452,2.94133,-0.00600484
0.453,2.93488,-0.00570219
0.454,2.93852,-0.00891856
0.455,2.89511,-0.0177363
0.456,2.90233,-0.0137692
0.457,2.89222,-0.000159203
0.458,2.88731,0.00304113
0.459,2.87328,0.0131513
0.46,2.87134,0.00771774
0.461,2.8565,0.0167854
0.462,2.84543,0.00433028
0.463,2.85039,0.0190305
0.464,2.85058,0.0197998
0.465,2.84421,0.00984594
0.466,2.84268,0.00880374
0.467,2.83693,0.0111785
0.468,2.84043,0.00182528
0.469,2.84397,0.00910978
0.47,2.84876,-0.0024974
0.471,2.84838,-0.00319357
0.472,2.851,0.00811159
0.473,2.85006,0.00912486
0.474,2.85756,-0.0030403
0.475,2.87946,-0.00183463
0.476,2.87751,0.00410081
0.477,2.88562,0.00553791
0.478,2.88463,0.00349899
0.479,2.89341,0.00327338
0.48,2.95254,-0.0164495
0.481,2.95593,-0.0131677
0.482,2.94767,0.000710642
0.483,2.94741,0.00067263
0.484,2.9547,0.00031902
0.485,2.95128,-0.00392134
0.486,2.95757,-0.0050094
0.487,2.95237,-0.00447485
0.488,2.95736,-0.00445247
0.489,2.95057,-0.00178169
0.49,2.95281,-0.00179498
0.491,2.92758,0.0183188
0.492,2.92797,0.0158966
0.493,2.92968,0.0254361
0.494,2.92848,0.0205702
0.495,2.93146,0.0277779
0.496,2.92837,0.0232696
0.497,2.92771,0.0304787
0.498,2.92822,0.0309192
0.499,2.92331,0.0265476
0.5,2.92393,0.0328647
0.501,2.91135,0.0334668
0.502,2.91135,0.0330618
0.503,2.91315,0.0386967
0.504,2.91383,0.0391683
0.505,2.90646,0.0351352
0.506,2.87048,0.0547019
0.507,2.86554,0.0471428
0.508,2.85712,0.0559862
0.509,2.85664,0.0570034
0.51,2.86206,0.046801
0.511,2.85317,0.0505066
0.512,2.85281,0.0511954
0.513,2.85608,0.0443788
0.514,2.84805,0.0527627
0.515,2.84788,0.0533355
0.516,2.84823,0.0475088
0.517,2.8409,0.0533152
0.518,2.82885,0.0491057
0.519,2.82925,0.0486882
0.52,2.82251,0.0549737
0.521,2.82195,0.0505417
